number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
101,0.8217993079584776,2026-07-07 17:43:20.767776,2026-07-07 17:43:21.295425,0 days 00:00:00.527649,relu,0.0005,"(10,)",1000,COMPLETE
102,0.8217993079584776,2026-07-07 17:43:21.295425,2026-07-07 17:43:21.824459,0 days 00:00:00.529034,relu,0.0005,"(10,)",1000,COMPLETE
103,0.8217993079584776,2026-07-07 17:43:21.824459,2026-07-07 17:43:22.349135,0 days 00:00:00.524676,relu,0.0005,"(10,)",1000,COMPLETE
104,0.8217993079584776,2026-07-07 17:43:22.349135,2026-07-07 17:43:22.844511,0 days 00:00:00.495376,relu,0.0005,"(10,)",1000,COMPLETE
105,0.8217993079584776,2026-07-07 17:43:22.844511,2026-07-07 17:43:23.355224,0 days 00:00:00.510713,relu,0.0005,"(10,)",1000,COMPLETE
106,0.8217993079584776,2026-07-07 17:43:23.355224,2026-07-07 17:43:24.472074,0 days 00:00:01.116850,logistic,0.0001,"(10,)",1000,COMPLETE
107,0.8131487889273357,2026-07-07 17:43:24.472074,2026-07-07 17:43:24.950489,0 days 00:00:00.478415,relu,0.0005,"(5,)",1000,COMPLETE
108,0.8217993079584776,2026-07-07 17:43:24.950489,2026-07-07 17:43:26.068653,0 days 00:00:01.118164,logistic,0.0001,"(10,)",1000,COMPLETE
109,0.7975778546712803,2026-07-07 17:43:26.068653,2026-07-07 17:43:26.769962,0 days 00:00:00.701309,tanh,0.0005,"(10,)",1000,COMPLETE
110,0.8217993079584776,2026-07-07 17:43:26.769962,2026-07-07 17:43:27.900234,0 days 00:00:01.130272,logistic,0.0001,"(10,)",1000,COMPLETE
111,0.8217993079584776,2026-07-07 17:43:27.900234,2026-07-07 17:43:29.030804,0 days 00:00:01.130570,logistic,0.0001,"(10,)",1000,COMPLETE
112,0.8217993079584776,2026-07-07 17:43:29.030804,2026-07-07 17:43:30.115503,0 days 00:00:01.084699,logistic,0.0001,"(10,)",1000,COMPLETE
113,0.8217993079584776,2026-07-07 17:43:30.115503,2026-07-07 17:43:31.248934,0 days 00:00:01.133431,logistic,0.0001,"(10,)",1000,COMPLETE
114,0.8217993079584776,2026-07-07 17:43:31.248934,2026-07-07 17:43:32.365035,0 days 00:00:01.116101,logistic,0.0001,"(10,)",1000,COMPLETE
115,0.8217993079584776,2026-07-07 17:43:32.365035,2026-07-07 17:43:33.482864,0 days 00:00:01.117829,logistic,0.0001,"(10,)",1000,COMPLETE
116,0.8217993079584776,2026-07-07 17:43:33.482864,2026-07-07 17:43:34.053718,0 days 00:00:00.570854,relu,0.0005,"(10,)",1000,COMPLETE
