number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
157,0.8089604832620186,2026-07-13 19:15:28.007203,2026-07-13 19:15:29.253406,0 days 00:00:01.246203,dart,0.1,0,1,42,COMPLETE
158,0.8089604832620186,2026-07-13 19:15:29.253406,2026-07-13 19:15:29.320629,0 days 00:00:00.067223,gbtree,0.1,0,1,42,COMPLETE
159,0.8089604832620186,2026-07-13 19:15:29.320629,2026-07-13 19:15:30.573676,0 days 00:00:01.253047,dart,0.1,0,1,42,COMPLETE
160,0.8089604832620186,2026-07-13 19:15:30.575678,2026-07-13 19:15:30.639949,0 days 00:00:00.064271,gbtree,0.1,0,1,42,COMPLETE
161,0.8089604832620186,2026-07-13 19:15:30.639949,2026-07-13 19:15:30.706250,0 days 00:00:00.066301,gbtree,0.1,0,1,42,COMPLETE
162,0.8089604832620186,2026-07-13 19:15:30.706250,2026-07-13 19:15:30.777035,0 days 00:00:00.070785,gbtree,0.1,0,1,42,COMPLETE
163,0.8089604832620186,2026-07-13 19:15:30.777035,2026-07-13 19:15:30.845848,0 days 00:00:00.068813,gbtree,0.1,0,1,42,COMPLETE
164,0.8089604832620186,2026-07-13 19:15:30.845848,2026-07-13 19:15:30.912403,0 days 00:00:00.066555,gbtree,0.1,0,1,42,COMPLETE
165,0.8089604832620186,2026-07-13 19:15:30.912403,2026-07-13 19:15:32.101181,0 days 00:00:01.188778,dart,0.1,0,1,42,COMPLETE
166,0.7165869619934558,2026-07-13 19:15:32.102923,2026-07-13 19:15:32.128815,0 days 00:00:00.025892,gblinear,0.1,0,1,42,COMPLETE
167,0.8089604832620186,2026-07-13 19:15:32.128815,2026-07-13 19:15:32.193910,0 days 00:00:00.065095,gbtree,0.1,0,1,42,COMPLETE
168,0.8089604832620186,2026-07-13 19:15:32.193910,2026-07-13 19:15:33.496831,0 days 00:00:01.302921,dart,0.1,0,1,42,COMPLETE
169,0.7993959224767179,2026-07-13 19:15:33.496831,2026-07-13 19:15:33.565872,0 days 00:00:00.069041,gbtree,0.05,0,1,42,COMPLETE
170,0.8089604832620186,2026-07-13 19:15:33.565872,2026-07-13 19:15:34.818722,0 days 00:00:01.252850,dart,0.1,0,1,42,COMPLETE
171,0.8089604832620186,2026-07-13 19:15:34.818722,2026-07-13 19:15:34.885130,0 days 00:00:00.066408,gbtree,0.1,0,1,42,COMPLETE
172,0.8089604832620186,2026-07-13 19:15:34.885130,2026-07-13 19:15:34.950254,0 days 00:00:00.065124,gbtree,0.1,0,1,42,COMPLETE
173,0.8089604832620186,2026-07-13 19:15:34.950254,2026-07-13 19:15:35.017293,0 days 00:00:00.067039,gbtree,0.1,0,1,42,COMPLETE
174,0.8089604832620186,2026-07-13 19:15:35.017293,2026-07-13 19:15:35.085381,0 days 00:00:00.068088,gbtree,0.1,0,1,42,COMPLETE
175,0.8089604832620186,2026-07-13 19:15:35.085381,2026-07-13 19:15:35.151254,0 days 00:00:00.065873,gbtree,0.1,0,1,42,COMPLETE
176,0.8089604832620186,2026-07-13 19:15:35.151254,2026-07-13 19:15:36.398484,0 days 00:00:01.247230,dart,0.1,0,1,42,COMPLETE
